V1,subj_idx,subnum_J,turkId,PrivateID,Direction,PDI,PDI_GROUP,CAPS,CAPS_GROUP,ASI,ASI_GROUP,dospert,DOSPERT_GROUP,samples,SAMPLES_GROUP,ranks,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiDichot,beadsDraws,DTD_GROUP,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,check_match,drift_rate,decision_trheshold,trial,rt,response
525,mxjgzd,194,A2O7LNRIBPIHAF,1650063,Left,45,HPDI,17,HCAPS,9,HASI,90,HDOSPERT,4.166666667,LSAM,6.75,1,0,1,50,4,.75,.714285714,.285714286,.714285714,5,7,13,HDTD,68,0,2,-1,1,49.5,19.5,-.61125,-.675,.18375,.44,3.25625,.0875,0,0,0,3,False,False,True,1.824382453,1.93929197,1,1.18963683333333,.9
1997,occnwj,893,AAJ1ZQECDZBEE,1650087,Right,14,LPDI,0,LCAPS,6,LASI,81,LDOSPERT,5.5,HSAM,6.166666667,1,1,4,100,4,1,.857142857,1,0,0,2,5,LDTD,74,0,0,0,0,75.5,25.5,-.6525,.45125,.52875,.225,4.51,.35625,0,0,1,3,False,False,True,1.676584873,1.41380911,1,1.0037,.966666666666667
734,ljfhts,561,A16184N1RO5OJV,1650099,Left,43,HPDI,55,HCAPS,16,HASI,51,LDOSPERT,4.5,LSAM,6.333333333,0,0,3,100,5,.75,.714285714,.857142857,.142857143,3,5,9,LDTD,40,0,0,0,0,57.5,17.5,-.61875,-.19,.2975,.24375,3.92125,.19,0,0,2,3,False,False,True,.408199002,3.036291972,1,2.91320346153846,.692307692307692
3181,koblxj,504,A2TG7EEQ2XG2IK,1650107,Right,0,LPDI,0,LCAPS,1,LASI,83,HDOSPERT,6.333333333,HSAM,6.666666667,0,1,1,100,5,0,.642857143,.285714286,.714285714,0,0,11,HDTD,55,-3,-2,-2,-7,49.5,1.5,-.13,.9675,.75875,.4375,3.22,.335,0,0,0,3,False,False,True,.942659551,3.583326998,1,2.67272732142857,.857142857142857
2234,gwaszm,789,A25N802S4J344I,1650123,Left,45,HPDI,32,HCAPS,15,HASI,99,HDOSPERT,5.666666667,HSAM,5.916666667,1,1,3,20,5,1,.928571429,.714285714,.285714286,8,7,11,HDTD,44,0,0,0,0,50,0,-.195,.4,.51625,.45375,2.7225,.22125,0,1,0,3,False,False,True,2.000045759,1.240461417,1,1.14967366666667,.9
3269,msdwhk,474,A1GQ2Q1USIMC63,1650129,Right,38,HPDI,5,LCAPS,3,LASI,89,HDOSPERT,6.333333333,HSAM,5.25,0,1,3,0,4,1,.642857143,.571428571,.428571429,3,4,12,HDTD,85,0,0,0,0,53,0,-.06125,1.27375,.87375,.37125,3.13,.4375,0,0,0,3,False,False,True,1.021895851,1.155021187,1,1.023848,.733333333333333
2085,brgtvy,352,A3IO4P2AU6NA18,1650130,Right,20,LPDI,0,LCAPS,2,LASI,122,HDOSPERT,5.5,HSAM,4.833333333,1,1,3,67,4,.75,.928571429,.714285714,.285714286,2,3,30,HDTD,55,0,0,0,0,51.5,0,-.12375,.865,.67,.4425,3.28375,.23375,0,0,0,3,False,False,True,1.513132847,2.872326229,1,1.41416566666667,.933333333333333
1490,xznyif,597,ASZSPKARH2RXY,1650135,Right,30,HPDI,10,LCAPS,16,HASI,82,HDOSPERT,5,LSAM,6.5,1,1,3,25,4,.5,.785714286,.571428571,.285714286,3,3,8,LDTD,65,0,0,0,0,57,1,-.4025,-.1075,.34375,.28125,3.46625,.14125,1,0,0,3,False,False,True,1.357063055,3.079942928,1,1.500749,.9
877,pisdmy,170,A34LSCB90T5KYE,1650195,Left,75,HPDI,153,HCAPS,16,HASI,74,LDOSPERT,4.5,LSAM,4.916666667,0,1,3,60,4,.5,.714285714,.142857143,.857142857,5,7,8,LDTD,71,-6,-4,-4,-14,54.5,4.5,-.0425,2.07,1.2675,.1575,5.01625,.49875,0,0,0,3,False,False,True,2.910921065,1.774494712,1,1.049058,.933333333333333
615,uhcvwc,725,A3GAQNTZ1V1VO,1650198,Right,0,LPDI,0,LCAPS,0,LASI,70,LDOSPERT,4.333333333,LSAM,7.166666667,1,1,4,30,4,1,.928571429,.857142857,.142857143,0,0,17,HDTD,62,0,0,1,1,51,.5,-.23125,.02125,.38125,.57875,2.59875,.17125,1,0,0,3,False,False,True,1.704266362,2.72333604,1,1.31533033333333,.966666666666667
